50000 0.008980 0.002010 4.130841
100000 0.018355 0.004010 16.660866
150000 0.029252 0.005886 36.016946
200000 0.040387 0.007951 64.713918
250000 0.050107 0.010351 100.876166
300000 0.059977 0.012635 145.845317
350000 0.069681 0.015206 200.938529
400000 0.079075 0.015953 260.230827
450000 0.092653 0.020306 329.486581
500000 0.100451 0.020475 407.533853
550000 0.110846 0.022293 493.043894
600000 0.122669 0.023757 586.906639
650000 0.132000 0.025802 690.159085
700000 0.149035 0.027629 803.504441
750000 0.152957 0.029650 922.106854
800000 0.161129 0.032126 1049.244216
850000 0.172262 0.032606 1190.306442
900000 0.197371 0.034812 1340.928226
950000 0.205770 0.037605 1493.637247
1000000 0.207896 0.038672 1651.021828
