50000 0.000723 0.004789 0.909927
100000 0.000961 0.010790 3.743262
150000 0.001345 0.016689 8.184820
200000 0.001837 0.022285 14.692479
250000 0.002153 0.026254 22.942141
300000 0.002502 0.032231 33.858096
350000 0.003040 0.036864 46.080987
400000 0.003527 0.042711 58.819444
450000 0.004168 0.045362 72.317663
500000 0.003980 0.050967 88.429789
550000 0.004528 0.056638 114.643412
600000 0.005022 0.064849 129.220781
650000 0.005915 0.068249 154.532286
700000 0.005959 0.071612 184.171524
750000 0.007705 0.075952 208.542361
800000 0.007244 0.081563 235.982282
850000 0.007368 0.085983 266.725833
900000 0.007626 0.092390 283.496802
950000 0.008033 0.096809 315.576264
1000000 0.008837 0.101843 349.697170
